mean,convex_area,class
12.37285664,1836218,0
16.37067522,1913674,0
11.83140298,1985657,0
12.83950952,1965266,0
11.86095103,1923009,0
12.17692727,1916553,0
11.25171468,1964351,0
12.92036577,1898658,0
13.44601311,1961053,0
14.12664301,2014757,0
11.48278967,1753675,0
14.13825727,2051292,0
14.70912101,2080841,0
16.29159903,1894864,0
15.75537744,1851367,0
14.16006248,2047014,0
10.71142377,1817927,0
14.9281529,1911047,0
18.89520202,1082050,0
20.25590729,1090977,0
13.91570752,1943673,0
15.33526532,1818124,0
11.54821995,2040052,0
11.7061942,1793903,0
17.08318537,1926329,0
15.01695588,2044341,0
12.4154751,1961717,0
15.21084872,1925650,0
12.98530083,1836896,0
17.01432426,2073739,0
14.667546,1008178,0
12.90173691,1961074,0
15.52297333,2024908,0
15.14260626,2036346,0
14.01664912,2052717,0
14.59371852,2031440,0
14.23048817,2054173,0
11.24545209,2020082,0
13.21580763,1889361,0
14.73866906,2086269,0
12.86968383,2045495,0
12.91141547,2039797,0
14.06852425,1903103,0
16.33452973,1927383,0
13.09323001,1848530,0
10.08459523,1860852,0
17.20354353,1933706,0
13.03063245,2014097,0
14.50803487,2054451,0
13.33869505,2034191,0
10.27839399,1915821,0
13.83307123,1844256,0
11.45553359,2025056,0
14.37913934,2037538,0
13.48804028,1900841,0
12.95337483,2026350,0
13.8499503,2060098,0
16.12566243,2085677,0
17.39505124,1956495,0
11.65975102,1937408,0
11.64028006,2010594,0
12.96405743,1909679,0
12.11292614,1811438,0
16.03030023,1990351,0
15.1301872,1909030,0
12.760487,2038839,0
16.23807833,1902312,0
17.93571175,1917696,0
11.87045878,1953825,0
12.52694924,2033519,0
15.04046907,2038133,0
13.5896542,2038085,0
16.36142056,2069934,0
11.39336313,1938013,0
14.97283308,2059186,0
15.76431086,2057807,0
13.49042058,2008705,0
14.42013085,2060574,0
12.93253748,2042430,0
15.49667044,2034874,0
15.02923346,1886817,0
14.62877942,1844242,0
13.40832369,2017295,0
14.54020182,2065741,0
11.7822701,1974741,0
14.74140183,2039126,0
12.85670318,1972819,0
16.6158526,2076638,0
12.80426821,1988018,0
13.97098913,2007519,0
15.23011175,2010966,0
13.22226777,1977381,0
11.17821462,1928307,0
16.03674158,1928091,0
17.39327567,1963971,0
14.39358005,1861143,0
15.58999594,1910737,0
14.79184416,1974620,0
16.59014813,1945730,0
12.89410794,1946617,0
12.19833395,1892639,0
15.21775736,2061505,0
16.69886041,2058385,0
16.24704285,2074534,0
15.94888653,2076192,0
12.55359372,1912011,0
13.75743474,2040848,0
13.18651075,1830051,0
14.87946352,2070081,0
13.08887456,2026283,0
17.86841631,1100766,0
17.00823246,2075519,0
15.33139494,2054466,0
16.24727323,1965024,0
15.01610189,2070781,0
16.23034192,1941556,0
20.4104099,1954246,0
14.03136414,1884449,0
15.95173316,2079233,0
13.56796286,2009607,0
18.35407648,1095806,0
15.87009174,2045332,0
12.45794686,1870193,0
14.44626294,1943256,0
13.76227401,2033116,0
13.89834306,2040640,0
16.64182985,1947668,0
14.27871013,2013474,0
15.63433361,2082696,0
14.28332168,2080134,0
14.99173472,2039009,0
12.6677437,1886173,0
15.4306855,2076455,0
16.71659395,1946302,0
17.81878269,2021248,0
15.81247589,2058207,0
16.66629493,2055283,0
12.6813506,2027443,0
9.759282032,1969143,0
13.21783685,1929011,0
13.80958505,2071783,0
13.4076405,1988468,0
17.24512924,2062497,0
13.57228974,2023887,0
15.17369149,2032732,0
11.61335091,1969321,0
16.32818841,1929796,0
12.81263731,1948034,0
9.583815586,1753931,0
12.50107802,1864000,0
13.7019254,2024331,0
14.36194568,2022068,0
14.32877886,1067453,0
11.36579241,1864143,0
15.91040006,2057420,0
16.60593801,1948051,0
11.77526738,1981372,0
15.45556507,2065957,0
18.41010552,1087691,0
17.93470418,1080413,0
9.554039807,1796281,0
10.24941527,1757887,0
14.36934692,2055234,0
11.47249952,2035381,0
14.23470119,2058614,0
16.1925583,2042259,0
14.43060646,2070544,0
12.24712524,1951883,0
16.12173407,2075849,0
16.57759233,1947373,0
12.95098366,1962415,0
15.82234172,1913488,0
18.35265321,1939240,0
13.22539906,1955227,0
13.80523285,1877944,0
16.75778571,2098299,0
13.33584872,1842509,0
19.96663059,1097330,0
11.93445109,1952924,0
12.0780489,1797091,0
14.02202832,1042311,0
13.18736805,1984180,0
15.61395202,1082038,0
15.65431097,1056091,0
18.71088113,1079514,0
15.57528409,1915771,0
17.41508979,1930666,0
14.98450427,2084877,0
11.54383614,1910707,0
11.6872495,2057236,0
13.65467129,2049632,0
14.92802708,2057373,0
15.05350665,2075712,0
16.2005858,2072653,0
13.09007014,1956774,0
16.32931054,2042255,0
14.13250707,2046591,0
11.23433695,1876402,0
13.87448828,2019994,0
16.44455154,1913918,0
10.57677804,1722857,0
15.11509487,1910364,0
15.0439989,2055660,0
11.63973722,1890861,0
17.3852222,1921870,0
14.87152496,1914124,0
15.51079996,1091443,0
8.845968364,1875129,1
6.38773336,1628747,1
8.811130276,1728277,1
5.18195342,1328975,1
8.233145255,1712134,1
10.84191342,1957048,1
12.22076542,2012514,1
9.658456778,1494467,1
6.206456565,1587767,1
10.04648184,1678349,1
10.8854669,1990498,1
8.47140842,1550269,1
10.48239087,1026750,1
6.213516214,1571333,1
8.242311412,1703911,1
11.50051038,1984785,1
7.882497026,1424219,1
6.415000884,1654327,1
10.1347529,1717979,1
12.46420945,1991599,1
8.534148207,1755466,1
9.303977273,1400187,1
13.70414577,1997009,1
5.882509752,1533979,1
12.29756757,2010383,1
6.278647173,1492900,1
6.316678187,1570484,1
7.194352013,1669236,1
12.4643759,971727,1
10.84077477,1864177,1
10.41708194,1997591,1
4.981800426,1551103,1
9.695972919,1768552,1
8.448863088,1930463,1
7.734529053,1661882,1
9.101709855,1711079,1
5.759250552,1313555,1
7.435635653,1433452,1
8.364828531,1714655,1
8.915597003,1783673,1
10.13446824,1831534,1
8.383390534,1815525,1
9.238746758,1932957,1
5.584796063,1639598,1
12.27069536,2040425,1
9.843428498,1791302,1
12.25771471,1979106,1
8.049221287,1523746,1
9.070852356,1784907,1
12.10991753,2001209,1
7.476510256,1701705,1
7.526269397,1642407,1
9.390219156,1008104,1
8.21310496,1644657,1
7.577364042,1832561,1
10.17836331,1907840,1
6.864598069,1659406,1
14.49548498,1782237,1
12.26910124,1979568,1
10.4372361,1779707,1
8.06542165,1811759,1
11.27813143,1951234,1
9.059181161,1712007,1
9.798110104,1821045,1
9.977846499,1932488,1
6.316678187,1570484,1
8.534148207,1755466,1
11.50051038,1984785,1
10.22772393,1822582,1
9.059181161,1712007,1
8.983631526,1666436,1
7.573068041,1522260,1
8.502721381,1746857,1
14.26294192,1076512,1
9.811375413,1686882,1
8.06542165,1811759,1
8.145127368,1901029,1
11.12435633,1934630,1
7.558960137,891200,1
11.22102798,1954763,1
10.17836331,1907840,1
12.13314606,1996973,1
8.383390534,1815525,1
10.63661426,1834327,1
10.63410922,1829256,1
3.942205256,1398723,1
6.455458604,1464639,1
8.507105195,1687561,1
7.136579241,1648243,1
9.798110104,1821045,1
8.152642479,1692997,1
5.302878381,1460377,1
9.070852356,1784907,1
10.84077477,1864177,1
8.923225978,1877408,1
9.993616845,2001987,1
8.21310496,1644657,1
6.213516214,1571333,1
8.242311412,1703911,1
8.534148207,1755466,1
10.41708194,1997591,1
8.383390534,1815525,1
0.30370671,83984,2
2.212573812,581480,2
3.985399788,1394429,2
4.119020732,1115591,2
0.574776786,89152,2
2.290102476,821563,2
4.108094054,1355037,2
1.496759527,584892,2
0.724752711,514900,2
5.021346397,1470548,2
0,0,2
4.353811005,953848,2
3.503863383,1168323,2
0.092266132,1659,2
1.937247487,311410,2
4.995157375,1132810,2
2.938522109,760484,2
0.035810641,811,2
0.765687291,159663,2
2.236485527,757679,2
4.748525109,1356928,2
6.514746898,1584317,2
0.199378161,6079,2
4.618263192,1456888,2
0.76514306,261079,2
0.306069959,27465,2
4.18671366,1332280,2
3.849729268,885236,2
0.167780537,65297,2
0.152304293,2036,2
2.378077043,922830,2
0,0,2
5.33436214,1062380,2
2.836533584,820231,2
0.966606636,600181,2
